rep_id,size,block_size,BLAS,MPI,grid,time
0, 16, 16, 1, 0, 1x1, 3.21e-07
1, 16, 16, 1, 0, 1x1, 3.93e-07
2, 16, 16, 1, 0, 1x1, 2.52e-07
3, 16, 16, 1, 0, 1x1, 2.48e-07
4, 16, 16, 1, 0, 1x1, 2.36e-07
5, 16, 16, 1, 0, 1x1, 2.38e-07
6, 16, 16, 1, 0, 1x1, 2.31e-07
7, 16, 16, 1, 0, 1x1, 2.39e-07
8, 16, 16, 1, 0, 1x1, 2.3e-07
9, 16, 16, 1, 0, 1x1, 4.44e-07
10, 16, 16, 1, 0, 1x1, 4.96e-07
11, 16, 16, 1, 0, 1x1, 5.33e-07
12, 16, 16, 1, 0, 1x1, 4.98e-07
13, 16, 16, 1, 0, 1x1, 5e-07
14, 16, 16, 1, 0, 1x1, 5.01e-07
15, 16, 16, 1, 0, 1x1, 4.97e-07
16, 16, 16, 1, 0, 1x1, 5e-07
17, 16, 16, 1, 0, 1x1, 5e-07
18, 16, 16, 1, 0, 1x1, 5e-07
19, 16, 16, 1, 0, 1x1, 5.03e-07
20, 16, 16, 1, 0, 1x1, 5.04e-07
21, 16, 16, 1, 0, 1x1, 5e-07
22, 16, 16, 1, 0, 1x1, 4.97e-07
23, 16, 16, 1, 0, 1x1, 4.99e-07
24, 16, 16, 1, 0, 1x1, 4.98e-07
25, 16, 16, 1, 0, 1x1, 5e-07
26, 16, 16, 1, 0, 1x1, 5.01e-07
27, 16, 16, 1, 0, 1x1, 2.4e-07
28, 16, 16, 1, 0, 1x1, 2.33e-07
29, 16, 16, 1, 0, 1x1, 2.44e-07
