rep_id,size,block_size,BLAS,MPI,grid,time
0, 1024, 1024, 0, 0, 1x1, 0.158203756
1, 1024, 1024, 0, 0, 1x1, 0.156913739
2, 1024, 1024, 0, 0, 1x1, 0.147656011
3, 1024, 1024, 0, 0, 1x1, 0.157110643
4, 1024, 1024, 0, 0, 1x1, 0.145923526
5, 1024, 1024, 0, 0, 1x1, 0.151427592
6, 1024, 1024, 0, 0, 1x1, 0.146154391
7, 1024, 1024, 0, 0, 1x1, 0.147660959
8, 1024, 1024, 0, 0, 1x1, 0.145768103
9, 1024, 1024, 0, 0, 1x1, 0.149910645
10, 1024, 1024, 0, 0, 1x1, 0.153043785
11, 1024, 1024, 0, 0, 1x1, 0.145956631
12, 1024, 1024, 0, 0, 1x1, 0.145726314
13, 1024, 1024, 0, 0, 1x1, 0.145777199
14, 1024, 1024, 0, 0, 1x1, 0.146102139
15, 1024, 1024, 0, 0, 1x1, 0.145846443
16, 1024, 1024, 0, 0, 1x1, 0.145853329
17, 1024, 1024, 0, 0, 1x1, 0.145826453
18, 1024, 1024, 0, 0, 1x1, 0.145810647
19, 1024, 1024, 0, 0, 1x1, 0.151881644
20, 1024, 1024, 0, 0, 1x1, 0.145817033
21, 1024, 1024, 0, 0, 1x1, 0.145806981
22, 1024, 1024, 0, 0, 1x1, 0.145819375
23, 1024, 1024, 0, 0, 1x1, 0.145937076
24, 1024, 1024, 0, 0, 1x1, 0.145871047
25, 1024, 1024, 0, 0, 1x1, 0.145831872
26, 1024, 1024, 0, 0, 1x1, 0.147461586
27, 1024, 1024, 0, 0, 1x1, 0.145768003
28, 1024, 1024, 0, 0, 1x1, 0.145804387
29, 1024, 1024, 0, 0, 1x1, 0.150761022
