rep_id, size, block_size, BLAS, MPI, grid, time
0, 4096, 1, 0, 0, 1x1, 830.047497
1, 4096, 1, 0, 0, 1x1, 827.38769
2, 4096, 1, 0, 0, 1x1, 827.277301
3, 4096, 1, 0, 0, 1x1, 827.747369
4, 4096, 1, 0, 0, 1x1, 826.764722
5, 4096, 1, 0, 0, 1x1, 819.840744
6, 4096, 1, 0, 0, 1x1, 822.671161
7, 4096, 1, 0, 0, 1x1, 822.165871
8, 4096, 1, 0, 0, 1x1, 824.520069
9, 4096, 1, 0, 0, 1x1, 819.539419
10, 4096, 1, 0, 0, 1x1, 822.314485
11, 4096, 1, 0, 0, 1x1, 824.088458
12, 4096, 1, 0, 0, 1x1, 821.979613
13, 4096, 1, 0, 0, 1x1, 820.755216
14, 4096, 1, 0, 0, 1x1, 821.68324
15, 4096, 1, 0, 0, 1x1, 826.617771
16, 4096, 1, 0, 0, 1x1, 822.356234
17, 4096, 1, 0, 0, 1x1, 822.515527
18, 4096, 1, 0, 0, 1x1, 819.65028
19, 4096, 1, 0, 0, 1x1, 823.619134
20, 4096, 1, 0, 0, 1x1, 819.189233
21, 4096, 1, 0, 0, 1x1, 832.607516
22, 4096, 1, 0, 0, 1x1, 834.293877
23, 4096, 1, 0, 0, 1x1, 841.158484
24, 4096, 1, 0, 0, 1x1, 835.142614
25, 4096, 1, 0, 0, 1x1, 832.300828
26, 4096, 1, 0, 0, 1x1, 825.807379
27, 4096, 1, 0, 0, 1x1, 835.838232
28, 4096, 1, 0, 0, 1x1, 838.642734
29, 4096, 1, 0, 0, 1x1, 841.575525
