rep_id,size,block_size,BLAS,MPI,grid,time
0, 4096, 64, 0, 0, 1x1, 9.36004736
1, 4096, 64, 0, 0, 1x1, 9.74345775
2, 4096, 64, 0, 0, 1x1, 9.77361621
3, 4096, 64, 0, 0, 1x1, 9.77057986
4, 4096, 64, 0, 0, 1x1, 9.69894533
5, 4096, 64, 0, 0, 1x1, 9.77829664
6, 4096, 64, 0, 0, 1x1, 9.78746505
7, 4096, 64, 0, 0, 1x1, 9.74505051
8, 4096, 64, 0, 0, 1x1, 9.80920525
9, 4096, 64, 0, 0, 1x1, 9.74929244
10, 4096, 64, 0, 0, 1x1, 9.76405873
11, 4096, 64, 0, 0, 1x1, 9.73551454
12, 4096, 64, 0, 0, 1x1, 9.74695458
13, 4096, 64, 0, 0, 1x1, 9.74606683
14, 4096, 64, 0, 0, 1x1, 9.76968153
15, 4096, 64, 0, 0, 1x1, 9.75159706
16, 4096, 64, 0, 0, 1x1, 9.76101646
17, 4096, 64, 0, 0, 1x1, 9.73234531
18, 4096, 64, 0, 0, 1x1, 9.71085765
19, 4096, 64, 0, 0, 1x1, 9.70669044
20, 4096, 64, 0, 0, 1x1, 9.71618511
21, 4096, 64, 0, 0, 1x1, 9.77392702
22, 4096, 64, 0, 0, 1x1, 9.7626148
23, 4096, 64, 0, 0, 1x1, 9.75255738
24, 4096, 64, 0, 0, 1x1, 9.81220871
25, 4096, 64, 0, 0, 1x1, 9.73273697
26, 4096, 64, 0, 0, 1x1, 9.79454568
27, 4096, 64, 0, 0, 1x1, 9.76382507
28, 4096, 64, 0, 0, 1x1, 9.75253291
29, 4096, 64, 0, 0, 1x1, 9.75345223
