rep_id, size, block_size, BLAS, MPI, grid, time
0, 8192, 16, 0, 0, 1x1, 276.902275
1, 8192, 16, 0, 0, 1x1, 277.775161
2, 8192, 16, 0, 0, 1x1, 277.02655
3, 8192, 16, 0, 0, 1x1, 276.752914
4, 8192, 16, 0, 0, 1x1, 277.013945
5, 8192, 16, 0, 0, 1x1, 276.812416
6, 8192, 16, 0, 0, 1x1, 276.810234
7, 8192, 16, 0, 0, 1x1, 277.695137
8, 8192, 16, 0, 0, 1x1, 270.539806
9, 8192, 16, 0, 0, 1x1, 260.751596
10, 8192, 16, 0, 0, 1x1, 262.080632
11, 8192, 16, 0, 0, 1x1, 262.970182
12, 8192, 16, 0, 0, 1x1, 266.666305
13, 8192, 16, 0, 0, 1x1, 268.588596
14, 8192, 16, 0, 0, 1x1, 268.344126
15, 8192, 16, 0, 0, 1x1, 270.157851
16, 8192, 16, 0, 0, 1x1, 270.3453
17, 8192, 16, 0, 0, 1x1, 270.292799
18, 8192, 16, 0, 0, 1x1, 270.148851
19, 8192, 16, 0, 0, 1x1, 270.705822
20, 8192, 16, 0, 0, 1x1, 272.125637
21, 8192, 16, 0, 0, 1x1, 270.32389
22, 8192, 16, 0, 0, 1x1, 268.609474
23, 8192, 16, 0, 0, 1x1, 269.691944
24, 8192, 16, 0, 0, 1x1, 269.739341
25, 8192, 16, 0, 0, 1x1, 269.268235
26, 8192, 16, 0, 0, 1x1, 269.750328
27, 8192, 16, 0, 0, 1x1, 269.523786
28, 8192, 16, 0, 0, 1x1, 269.641804
29, 8192, 16, 0, 0, 1x1, 269.896861
