rep_id, size, block_size, BLAS, MPI, grid, time, comm_time, comp_time
0, 4096, 1, 0, 1, 12x12, 3.82393099, 3.75054369, 0.09740599
1, 4096, 1, 0, 1, 12x12, 4.25854889, 4.1845352, 0.097608754
2, 4096, 1, 0, 1, 12x12, 4.31606001, 4.24285238, 0.09773066
3, 4096, 1, 0, 1, 12x12, 4.19039391, 4.11689311, 0.097313838
4, 4096, 1, 0, 1, 12x12, 4.68032192, 4.60694444, 0.098342457
5, 4096, 1, 0, 1, 12x12, 4.64953006, 4.57656545, 0.097979052
6, 4096, 1, 0, 1, 12x12, 4.12196774, 4.04850459, 0.09758887
7, 4096, 1, 0, 1, 12x12, 4.33719742, 4.26373737, 0.097909619
8, 4096, 1, 0, 1, 12x12, 4.43725765, 4.36440645, 0.098230519
9, 4096, 1, 0, 1, 12x12, 4.65002278, 4.5753774, 0.098195806
10, 4096, 1, 0, 1, 12x12, 4.02763143, 3.95389716, 0.098185354
11, 4096, 1, 0, 1, 12x12, 4.59313944, 4.51973503, 0.097627457
12, 4096, 1, 0, 1, 12x12, 4.11654859, 4.04322262, 0.097517153
13, 4096, 1, 0, 1, 12x12, 4.61168977, 4.53837336, 0.097975156
14, 4096, 1, 0, 1, 12x12, 4.30286001, 4.22871329, 0.098938138
15, 4096, 1, 0, 1, 12x12, 3.86825253, 3.79404829, 0.098076767
16, 4096, 1, 0, 1, 12x12, 4.27005762, 4.19615689, 0.098526617
17, 4096, 1, 0, 1, 12x12, 4.98851914, 4.91525323, 0.097546638
18, 4096, 1, 0, 1, 12x12, 3.73869854, 3.66447229, 0.098003466
19, 4096, 1, 0, 1, 12x12, 4.04577665, 3.97268193, 0.098000127
20, 4096, 1, 0, 1, 12x12, 4.39346521, 4.31918165, 0.097967893
21, 4096, 1, 0, 1, 12x12, 4.52487546, 4.451485, 0.097174354
22, 4096, 1, 0, 1, 12x12, 4.55116026, 4.47771351, 0.097431487
23, 4096, 1, 0, 1, 12x12, 4.15624229, 4.08309752, 0.09732001
24, 4096, 1, 0, 1, 12x12, 4.34234868, 4.26861764, 0.098424506
25, 4096, 1, 0, 1, 12x12, 4.21952183, 4.14583123, 0.098603084
26, 4096, 1, 0, 1, 12x12, 4.28581653, 4.21265735, 0.098142174
27, 4096, 1, 0, 1, 12x12, 4.56489412, 4.49181326, 0.097028204
28, 4096, 1, 0, 1, 12x12, 4.40010327, 4.32632402, 0.098442792
29, 4096, 1, 0, 1, 12x12, 4.45927644, 4.38607836, 0.098022761
