rep_id,size,block_size,BLAS,MPI,grid,time,comm_time,comp_time
0, 32, 16, 0, 1, 6x6, 0.000156258, 8.6825e-05, 1.046e-06
1, 32, 16, 0, 1, 6x6, 0.000157408, 7.7888e-05, 1.714e-06
2, 32, 16, 0, 1, 6x6, 0.000242184, 0.00015266, 1.776e-06
3, 32, 16, 0, 1, 6x6, 0.00015056, 8.3911e-05, 2.837e-06
4, 32, 16, 0, 1, 6x6, 0.000113204, 5.1433e-05, 2.16e-06
5, 32, 16, 0, 1, 6x6, 0.000122668, 5.8888e-05, 2.962e-06
6, 32, 16, 0, 1, 6x6, 0.000115382, 5.6333e-05, 2.195e-06
7, 32, 16, 0, 1, 6x6, 0.000120574, 5.8871e-05, 2.708e-06
8, 32, 16, 0, 1, 6x6, 0.000122124, 6.1532e-05, 2.007e-06
9, 32, 16, 0, 1, 6x6, 0.000119429, 5.9312e-05, 2.431e-06
10, 32, 16, 0, 1, 6x6, 0.000221378, 0.000160413, 2.558e-06
11, 32, 16, 0, 1, 6x6, 0.000128381, 6.6027e-05, 2.432e-06
12, 32, 16, 0, 1, 6x6, 0.000113676, 5.3351e-05, 2.232e-06
13, 32, 16, 0, 1, 6x6, 0.000105235, 4.749e-05, 2.892e-06
14, 32, 16, 0, 1, 6x6, 9.972e-05, 4.1065e-05, 1.765e-06
15, 32, 16, 0, 1, 6x6, 0.000114242, 4.9778e-05, 2.747e-06
16, 32, 16, 0, 1, 6x6, 0.000107096, 4.4965e-05, 2.645e-06
17, 32, 16, 0, 1, 6x6, 0.000111043, 5.1227e-05, 2.481e-06
18, 32, 16, 0, 1, 6x6, 0.000111568, 5.2262e-05, 2.005e-06
19, 32, 16, 0, 1, 6x6, 0.000116002, 5.1971e-05, 2.315e-06
20, 32, 16, 0, 1, 6x6, 0.000115226, 4.7221e-05, 2.201e-06
21, 32, 16, 0, 1, 6x6, 0.000108249, 4.787e-05, 2.445e-06
22, 32, 16, 0, 1, 6x6, 0.000123101, 4.701e-05, 2.724e-06
23, 32, 16, 0, 1, 6x6, 0.00010949, 5.0571e-05, 2.508e-06
24, 32, 16, 0, 1, 6x6, 0.000109447, 4.9193e-05, 2.333e-06
25, 32, 16, 0, 1, 6x6, 0.00011124, 5.293e-05, 3.124e-06
26, 32, 16, 0, 1, 6x6, 0.000113069, 5.2805e-05, 2.125e-06
27, 32, 16, 0, 1, 6x6, 0.00011253, 5.5172e-05, 2.288e-06
28, 32, 16, 0, 1, 6x6, 0.000123995, 5.1747e-05, 2.557e-06
29, 32, 16, 0, 1, 6x6, 0.000118894, 5.8398e-05, 2.419e-06
