rep_id,size,block_size,BLAS,MPI,grid,time, comm_time, comp_time
0, 16, 2, 0, 1, 4x4, 7.7905e-05, 3.1268e-05, 1.934e-06
1, 16, 2, 0, 1, 4x4, 7.3097e-05, 2.3885e-05, 1.09e-06
2, 16, 2, 0, 1, 4x4, 0.000120353, 7.476e-05, 1.229e-06
3, 16, 2, 0, 1, 4x4, 6.6648e-05, 2.2753e-05, 1.501e-06
4, 16, 2, 0, 1, 4x4, 6.181e-05, 2.0715e-05, 1.363e-06
5, 16, 2, 0, 1, 4x4, 7.9381e-05, 3.7894e-05, 1.674e-06
6, 16, 2, 0, 1, 4x4, 6.5875e-05, 2.2651e-05, 1.549e-06
7, 16, 2, 0, 1, 4x4, 6.3625e-05, 2.2252e-05, 1.445e-06
8, 16, 2, 0, 1, 4x4, 6.4448e-05, 2.1574e-05, 1.262e-06
9, 16, 2, 0, 1, 4x4, 6.6158e-05, 2.3195e-05, 1.557e-06
10, 16, 2, 0, 1, 4x4, 8.2312e-05, 2.4569e-05, 1.554e-06
11, 16, 2, 0, 1, 4x4, 6.7752e-05, 2.5113e-05, 1.29e-06
12, 16, 2, 0, 1, 4x4, 6.6429e-05, 2.2625e-05, 1.492e-06
13, 16, 2, 0, 1, 4x4, 6.1909e-05, 1.8212e-05, 1.274e-06
14, 16, 2, 0, 1, 4x4, 6.1746e-05, 1.7616e-05, 1.639e-06
15, 16, 2, 0, 1, 4x4, 6.2998e-05, 1.9227e-05, 1.543e-06
16, 16, 2, 0, 1, 4x4, 6.4955e-05, 1.9601e-05, 1.511e-06
17, 16, 2, 0, 1, 4x4, 6.6288e-05, 2.1725e-05, 1.414e-06
18, 16, 2, 0, 1, 4x4, 6.6181e-05, 2.1107e-05, 1.728e-06
19, 16, 2, 0, 1, 4x4, 6.4671e-05, 2.0461e-05, 1.347e-06
20, 16, 2, 0, 1, 4x4, 6.3033e-05, 2.0277e-05, 1.304e-06
21, 16, 2, 0, 1, 4x4, 6.5301e-05, 2.2648e-05, 1.291e-06
22, 16, 2, 0, 1, 4x4, 6.3109e-05, 1.967e-05, 1.323e-06
23, 16, 2, 0, 1, 4x4, 6.3992e-05, 1.9329e-05, 1.177e-06
24, 16, 2, 0, 1, 4x4, 6.3747e-05, 2.0191e-05, 1.395e-06
25, 16, 2, 0, 1, 4x4, 6.7793e-05, 2.4578e-05, 1.53e-06
26, 16, 2, 0, 1, 4x4, 6.8828e-05, 2.4737e-05, 1.435e-06
27, 16, 2, 0, 1, 4x4, 6.8194e-05, 2.3176e-05, 1.459e-06
28, 16, 2, 0, 1, 4x4, 6.7427e-05, 2.3466e-05, 1.488e-06
29, 16, 2, 0, 1, 4x4, 6.8013e-05, 2.4711e-05, 1.369e-06
