rep_id,size,block_size,BLAS,MPI,grid,time,comm_time,comp_time
0, 128, 16, 1, 1, 6x6, 0.000348633, 0.000278965, 7.008e-06
1, 128, 16, 1, 1, 6x6, 0.000350322, 0.000272196, 7.219e-06
2, 128, 16, 1, 1, 6x6, 0.00049759, 0.000408773, 7.288e-06
3, 128, 16, 1, 1, 6x6, 0.000344101, 0.000265108, 8.261e-06
4, 128, 16, 1, 1, 6x6, 0.000313877, 0.000246553, 7.178e-06
5, 128, 16, 1, 1, 6x6, 0.000326343, 0.000260115, 7.135e-06
6, 128, 16, 1, 1, 6x6, 0.00031817, 0.000253287, 7.09e-06
7, 128, 16, 1, 1, 6x6, 0.000327334, 0.0002632, 7.708e-06
8, 128, 16, 1, 1, 6x6, 0.000329821, 0.000263198, 7.42e-06
9, 128, 16, 1, 1, 6x6, 0.000330832, 0.000264462, 7.066e-06
10, 128, 16, 1, 1, 6x6, 0.000385245, 0.000320843, 7.083e-06
11, 128, 16, 1, 1, 6x6, 0.000331814, 0.000265563, 7.159e-06
12, 128, 16, 1, 1, 6x6, 0.000325512, 0.000258002, 7.193e-06
13, 128, 16, 1, 1, 6x6, 0.000333767, 0.00026629, 7.275e-06
14, 128, 16, 1, 1, 6x6, 0.000329342, 0.00026287, 1.6031e-05
15, 128, 16, 1, 1, 6x6, 0.000326292, 0.000260131, 7.205e-06
16, 128, 16, 1, 1, 6x6, 0.000328281, 0.000261586, 7.28e-06
17, 128, 16, 1, 1, 6x6, 0.000320101, 0.000253019, 7.113e-06
18, 128, 16, 1, 1, 6x6, 0.000323538, 0.000256532, 7.117e-06
19, 128, 16, 1, 1, 6x6, 0.000334888, 0.000261898, 8.633e-06
20, 128, 16, 1, 1, 6x6, 0.000319269, 0.000255177, 7.063e-06
21, 128, 16, 1, 1, 6x6, 0.000322027, 0.00025816, 7.102e-06
22, 128, 16, 1, 1, 6x6, 0.000324276, 0.000257589, 7.228e-06
23, 128, 16, 1, 1, 6x6, 0.00031741, 0.000253307, 7.134e-06
24, 128, 16, 1, 1, 6x6, 0.000335956, 0.000259538, 7.12e-06
25, 128, 16, 1, 1, 6x6, 0.000312221, 0.000250846, 7.075e-06
26, 128, 16, 1, 1, 6x6, 0.000324401, 0.000259131, 7.069e-06
27, 128, 16, 1, 1, 6x6, 0.000319153, 0.000255379, 7.265e-06
28, 128, 16, 1, 1, 6x6, 0.000319737, 0.000252765, 7.345e-06
29, 128, 16, 1, 1, 6x6, 0.000335257, 0.00026828, 7.192e-06
